@relation MIXED
@attribute v {False,True}
@attribute w {False,True}
@attribute x real
@attribute y real
@attribute class {p,n}

@data
True,False,0.551,0.369,n
False,False,0.041,0.567,n
True,False,0.945,0.494,p
True,False,0.218,0.372,p
False,True,0.143,0.072,p
False,False,0.379,0.004,n
True,False,0.469,0.543,n
True,False,0.974,0.962,n
False,False,0.221,0.837,n
False,True,0.830,0.392,n
False,True,0.237,0.372,p
False,True,0.123,0.373,p
True,True,0.044,0.604,p
True,False,0.694,0.021,p
True,False,0.791,0.488,p
True,False,0.150,0.931,n
False,True,0.502,0.873,n
False,False,0.182,0.818,n
True,True,0.968,0.693,p
True,True,0.577,0.388,p
True,True,0.006,0.579,p
True,True,0.569,0.528,p
True,True,0.793,0.238,p
False,False,0.304,0.763,n
False,True,0.873,0.716,n
False,False,0.997,0.151,n
True,True,0.929,0.587,p
False,False,0.304,0.353,n
False,False,0.218,0.400,n
False,True,0.864,0.648,p
False,False,0.601,0.079,n
False,False,0.626,0.335,n
True,True,0.257,0.463,p
False,False,0.358,0.362,n
True,True,0.763,0.776,p
False,False,0.543,0.205,n
False,True,0.940,0.366,p
False,False,0.528,0.351,n
False,False,0.660,0.015,n
True,True,0.060,0.564,p
False,False,0.354,0.326,n
True,True,0.298,0.994,p
False,True,0.283,0.332,p
True,False,0.579,0.883,n
True,False,0.995,0.298,p
False,True,0.683,0.090,p
True,True,0.882,0.980,p
False,True,0.065,0.110,p
True,False,0.525,0.003,p
False,False,0.530,0.840,p
False,True,0.970,0.853,n
True,True,0.011,0.688,p
True,False,0.387,0.385,n
True,False,0.898,0.635,p
False,False,0.909,0.050,n
False,True,0.746,0.853,p
False,True,0.262,0.841,n
True,True,0.571,0.999,p
True,True,0.662,0.275,p
True,True,0.695,0.449,p
True,False,0.556,0.001,p
True,False,0.591,0.307,n
True,True,0.242,0.834,p
False,False,0.978,0.852,n
True,False,0.666,0.329,p
False,False,0.593,0.463,n
False,False,0.740,0.402,p
False,True,0.554,0.769,n
False,False,0.221,0.077,n
False,True,0.088,0.753,n
True,False,0.313,0.255,p
True,True,0.511,0.420,p
True,False,0.867,0.802,n
False,True,0.951,0.823,n
False,True,0.220,0.439,p
False,True,0.221,0.720,p
False,False,0.466,0.202,n
True,True,0.155,0.057,n
False,False,0.160,0.446,n
False,False,0.946,0.665,p
False,True,0.974,0.328,n
True,False,0.201,0.280,p
False,True,0.032,0.599,n
False,True,0.194,0.152,p
False,True,0.096,0.552,p
True,False,0.375,0.663,n
True,True,0.149,0.094,n
False,False,0.153,0.270,n
True,True,0.246,0.568,p
False,False,0.727,0.535,p
False,True,0.570,0.121,p
False,False,0.244,0.775,n
True,True,0.032,0.789,p
True,True,0.908,0.751,p
True,False,0.240,0.588,p
False,True,0.575,0.933,n
True,False,0.951,0.878,n
True,True,0.411,0.299,p
False,False,0.354,0.845,n
False,False,0.683,0.042,n
False,True,0.890,0.610,p
False,False,0.391,0.009,n
False,False,0.945,0.455,n
True,False,0.929,0.894,n
True,True,0.305,0.709,p
True,False,0.907,0.498,p
True,True,0.311,0.512,p
False,True,0.035,0.325,p
True,False,0.188,0.918,n
True,False,0.747,0.641,p
False,False,0.308,0.521,n
True,False,0.587,0.971,n
True,True,0.403,0.682,p
True,True,0.320,0.793,p
False,False,0.926,0.623,n
True,False,0.779,0.315,p
True,True,0.753,0.275,p
True,True,0.851,0.121,p
True,True,0.980,0.886,p
False,False,0.967,0.634,n
False,True,0.394,0.940,p
True,True,0.393,0.806,p
False,False,0.532,0.521,n
False,False,0.852,0.668,n
False,False,0.222,0.850,n
False,False,0.898,0.899,n
True,False,0.360,0.699,n
False,True,0.275,0.059,p
False,True,0.629,0.340,p
True,True,0.374,0.955,p
True,False,0.585,0.400,n
True,True,0.658,0.252,p
True,False,0.431,0.969,n
True,False,0.342,0.190,p
True,True,0.628,0.565,p
True,True,0.306,0.044,p
True,True,0.899,0.804,p
False,True,0.508,0.209,n
True,False,0.938,0.193,p
True,True,0.161,0.896,p
False,False,0.111,0.728,n
True,True,0.769,0.904,p
False,False,0.204,0.355,p
False,False,0.945,0.440,n
True,False,0.570,0.719,n
False,True,0.652,0.862,n
True,True,0.606,0.118,p
True,False,0.700,0.800,p
True,True,0.041,0.468,p
True,False,0.072,0.030,p
False,False,0.706,0.661,n
True,True,0.671,0.560,p
False,False,0.368,0.303,n
True,False,0.253,0.301,p
True,False,0.324,0.095,p
True,True,0.274,0.250,p
False,True,0.231,0.886,n
True,False,0.770,0.775,n
True,True,0.064,0.122,p
False,False,0.218,0.755,n
True,False,0.691,0.746,n
True,False,0.064,0.067,p
True,True,0.921,0.450,n
True,False,0.031,0.829,n
False,False,0.855,0.803,n
True,False,0.846,0.073,p
True,True,0.181,0.144,p
False,False,0.296,0.268,n
True,True,0.366,0.523,p
False,False,0.909,0.166,n
False,False,0.649,0.887,n
True,False,0.641,0.472,n
False,True,0.438,0.116,n
True,True,0.094,0.118,p
True,True,0.444,0.239,p
False,False,0.522,0.510,n
True,False,0.101,0.477,p
True,False,0.074,0.453,p
False,True,0.663,0.361,p
True,False,0.387,0.887,n
False,False,0.016,0.458,p
False,True,0.217,0.036,p
False,True,0.025,0.165,p
True,False,0.310,0.784,p
True,False,0.261,0.562,n
False,False,0.957,0.269,n
True,True,0.182,0.692,p
True,True,0.962,0.900,n
True,False,0.998,0.640,n
True,False,0.036,0.136,p
True,True,0.704,0.437,p
False,True,0.693,0.676,n
True,True,0.117,0.629,p
True,True,0.163,0.065,n
False,False,0.696,0.004,n
False,False,0.265,0.711,n
False,False,0.114,0.935,n
True,True,0.875,0.333,p
False,False,0.839,0.423,n
True,False,0.229,0.797,n
False,False,0.586,0.191,n
True,True,0.522,0.332,p
False,False,0.229,0.024,n
True,True,0.131,0.062,p
False,False,0.175,0.629,n
False,False,0.624,0.437,n
False,True,0.804,0.514,p
True,True,0.770,0.372,n
True,False,0.037,0.981,n
False,True,0.437,0.086,p
True,False,0.240,0.387,p
True,True,0.362,0.891,p
False,False,0.260,0.741,n
False,False,0.916,0.491,n
False,True,0.313,0.729,n
True,False,0.660,0.056,p
False,True,0.010,0.763,n
False,False,0.755,0.813,n
True,True,0.381,0.840,p
True,False,0.345,0.844,n
False,False,0.794,0.843,n
False,True,0.887,0.903,n
True,True,0.954,0.310,p
True,True,0.900,0.734,p
True,False,0.600,0.998,n
False,False,0.208,0.543,p
False,True,0.999,0.184,n
False,False,0.367,0.942,n
True,False,0.381,0.710,p
False,True,0.547,0.500,n
False,True,1.000,0.561,n
False,False,0.910,0.551,n
True,False,0.924,0.207,p
False,True,0.933,0.560,p
True,False,0.092,0.006,p
True,False,0.748,0.237,p
True,True,0.925,0.053,p
False,True,0.869,0.869,n
True,False,0.320,0.172,p
True,True,0.767,0.245,p
False,True,0.085,0.193,p
True,False,0.505,0.184,p
True,False,0.500,0.233,n
True,True,0.967,0.403,p
True,True,0.352,0.691,p
False,True,0.864,0.573,p
False,False,0.627,0.678,n
True,True,0.590,0.677,p
False,True,0.651,0.286,p
False,True,0.807,0.441,n
True,False,0.333,0.387,p
True,False,0.370,0.388,p
False,True,0.891,0.288,p
False,False,0.311,0.219,n
False,False,0.551,0.922,n
False,False,0.434,0.193,n
False,False,0.022,0.708,n
True,True,0.391,0.253,p
False,True,0.975,0.995,n
False,True,0.439,0.023,p
True,True,0.511,0.147,p
False,False,0.844,0.362,n
False,False,0.991,0.688,p
False,False,0.589,0.134,n
True,True,0.877,0.606,p
True,False,0.730,0.649,p
True,True,0.215,0.654,p
True,False,0.920,0.943,n
True,True,0.456,0.864,p
True,False,0.046,0.836,n
True,False,0.602,0.865,n
False,True,0.637,0.377,p
False,False,0.465,0.469,n
True,True,0.164,0.906,p
False,True,0.858,0.224,n
True,False,0.745,0.232,p
False,False,0.554,0.405,n
False,False,0.899,0.470,n
True,False,0.554,0.762,n
False,True,0.582,0.967,p
True,False,0.314,0.029,p
False,True,0.455,0.369,n
False,False,0.669,0.684,n
False,True,0.088,0.280,p
False,True,0.350,0.710,p
False,False,0.573,0.988,p
False,False,0.211,0.122,n
True,True,0.405,0.697,p
True,False,0.830,0.892,n
True,True,0.871,0.022,p
True,False,0.163,0.152,p
False,False,0.160,0.503,n
False,True,0.140,0.926,n
False,False,0.895,0.357,n
True,True,0.429,0.476,p
False,True,0.988,0.239,p
False,True,0.649,0.424,p
False,True,0.928,0.587,p
True,False,0.990,0.735,n
False,True,0.168,0.670,p
False,False,0.662,0.101,n
False,True,0.661,0.330,n
True,True,0.063,0.589,n
True,False,0.141,0.484,p
True,True,0.712,0.277,p
False,False,0.153,0.874,n
True,False,0.374,0.510,n
False,True,0.660,0.129,p
True,False,0.044,0.293,p
False,True,0.483,0.731,n
False,True,0.862,0.709,p
False,True,0.733,0.207,p
True,True,0.635,0.693,p
True,False,0.712,0.895,n
True,True,0.289,0.155,p
False,False,0.352,0.061,n
False,True,0.037,0.173,n
False,True,0.440,0.397,n
False,False,0.207,0.579,n
False,False,0.471,0.772,n
False,False,0.332,0.399,n
False,False,0.778,0.842,p
True,False,0.800,0.105,p
True,False,0.311,0.871,n
True,True,0.289,0.702,p
True,False,0.100,0.528,n
True,False,0.366,0.984,n
True,False,0.957,0.361,p
False,False,0.377,0.887,n
True,True,0.676,0.497,p
True,False,0.753,0.364,p
True,False,0.822,0.653,p
False,True,0.899,0.339,p
True,True,0.920,0.905,p
False,True,0.603,0.971,n
True,True,0.830,0.939,n
False,True,0.271,0.954,n
False,True,0.396,0.224,p
True,True,0.510,0.501,p
False,False,0.353,0.812,p
False,True,0.276,0.636,p
True,False,0.316,0.807,n
False,False,0.292,0.863,p
False,False,0.156,0.172,n
True,True,0.837,0.017,p
False,True,0.038,0.768,n
True,False,0.850,0.986,n
True,False,0.263,0.182,p
False,True,0.918,0.223,p
True,True,0.651,0.534,p
False,True,0.418,0.619,n
True,False,0.828,0.906,n
True,True,0.713,0.728,p
False,False,0.643,0.657,n
False,True,0.442,0.325,n
True,False,0.128,0.670,n
True,True,0.796,0.688,p
False,False,0.996,0.299,n
True,False,0.616,0.637,n
False,False,0.523,0.300,n
False,False,0.425,0.938,n
True,True,0.911,0.440,n
True,True,0.586,0.313,n
False,True,0.678,0.289,p
True,False,0.282,0.586,p
True,False,0.094,0.516,p
True,True,0.247,0.914,p
True,True,0.690,0.930,p
True,True,0.174,0.651,p
False,False,0.476,0.649,n
False,False,0.958,0.392,n
False,True,0.667,0.562,n
True,True,0.658,0.400,p
True,False,0.965,0.777,n
False,False,0.170,0.156,p
False,True,0.337,0.102,p
False,True,0.970,0.289,p
True,False,0.024,0.100,p
False,True,0.550,0.813,n
False,True,0.266,0.399,p
False,False,0.333,0.706,n
True,True,0.937,0.778,p
True,True,0.760,0.318,p
False,False,0.248,0.684,n
True,True,0.482,0.047,p
False,True,0.743,0.504,p
False,True,0.232,0.138,p
True,True,0.966,0.837,p
True,True,0.013,0.384,p
False,True,0.947,0.014,p
False,False,0.439,0.886,n
False,False,0.887,0.154,n
False,False,0.615,0.372,n
False,False,0.695,0.020,n
False,True,0.766,0.306,p
True,True,0.806,0.540,p
False,True,0.402,0.180,p
True,False,0.874,0.409,p
True,False,0.031,0.341,p
False,False,0.511,0.191,n
False,True,0.880,0.836,n
False,True,0.324,0.830,p
True,True,0.612,0.621,p
True,True,0.876,0.874,p
True,True,0.203,0.372,p
True,True,0.366,0.107,p
False,True,0.760,0.936,n
False,False,0.813,0.056,n
False,False,0.668,0.689,n
False,True,0.626,0.279,p
True,False,0.267,0.468,p
True,False,0.191,0.974,n
True,False,0.639,0.100,p
False,True,0.630,0.647,n
True,False,0.435,0.649,n
True,False,0.636,0.443,n
False,True,0.535,0.598,n
False,True,0.398,0.022,p
True,True,0.642,0.455,p
False,False,0.330,0.321,n
True,False,0.578,0.446,n
False,True,0.499,0.912,n
False,False,0.197,0.523,n
False,True,0.351,0.498,n
True,False,0.086,0.349,p
True,False,0.513,0.888,n
True,True,0.079,0.479,p
False,False,0.489,0.079,n
True,True,0.188,0.727,p
False,False,0.606,0.016,n
False,False,0.243,0.028,n
True,False,0.487,0.362,n
False,False,0.989,0.215,n
True,False,0.759,0.302,p
False,False,0.555,0.595,p
False,False,0.344,0.824,n
False,False,0.441,0.117,p
False,True,0.578,0.421,n
False,True,0.517,0.147,p
True,True,0.297,0.609,p
True,False,0.395,0.449,n
False,False,0.448,0.826,n
True,False,0.350,0.817,n
True,False,0.968,0.425,p
False,False,0.696,0.008,n
True,False,0.503,0.718,n
True,False,0.728,0.518,p
False,True,0.872,0.019,p
False,True,0.843,0.448,n
True,True,0.912,0.684,p
True,True,0.981,0.155,p
True,False,0.381,0.272,p
False,False,0.885,0.360,n
True,False,0.674,0.748,n
True,True,0.327,0.249,p
False,False,0.573,0.023,n
True,False,0.822,0.586,n
False,True,0.653,0.356,p
True,False,0.746,0.952,n
True,True,0.274,0.610,p
True,True,0.931,0.248,p
False,True,0.837,0.026,p
False,False,0.129,0.294,n
True,True,0.176,0.449,p
True,True,0.180,0.303,p
True,True,0.864,0.921,p
False,True,0.609,0.152,n
False,True,0.461,0.812,n
False,True,0.628,0.694,n
False,True,0.914,0.538,p
False,False,0.103,0.139,p
True,False,0.009,0.478,p
True,True,0.567,0.028,p
False,True,0.076,0.570,p
False,False,0.222,0.222,n
False,True,0.454,0.857,n
False,True,0.868,0.231,p
True,False,0.329,0.582,n
True,True,0.142,0.791,p
True,True,0.957,0.253,p
False,False,0.946,0.264,n
True,False,0.578,0.934,n
True,False,0.346,0.025,p
True,False,0.594,0.338,p
False,False,0.859,0.025,n
True,True,0.847,0.296,p
False,False,0.682,0.824,n
False,True,0.443,0.592,n
False,False,0.985,0.027,p
True,False,0.060,0.263,p
False,False,0.223,0.439,n
False,True,0.435,0.995,n
False,False,0.680,0.097,n
False,False,0.612,0.758,n
False,False,0.329,0.223,n
False,False,0.446,0.817,n
True,True,0.539,0.788,p
False,True,0.834,0.331,n
True,False,0.403,0.580,n
False,True,0.414,0.960,n
True,False,0.542,0.263,n
False,False,0.956,0.744,n
False,False,0.666,0.014,p
False,False,0.779,0.391,n
True,True,0.356,0.838,p
True,False,0.287,0.891,n
False,True,0.857,0.789,p
True,False,0.792,0.121,p
False,False,0.396,0.222,n
False,True,0.694,0.967,n
True,True,0.391,0.860,p
False,True,0.520,0.767,n
True,False,0.408,0.567,n
False,True,0.395,0.269,p
True,True,0.059,0.302,p
False,True,0.302,0.905,n
False,False,0.993,0.735,p
False,False,0.161,0.160,n
False,False,0.319,0.618,n
True,False,0.886,0.116,p
False,False,0.494,0.953,p
True,False,0.977,0.064,p
False,False,0.674,0.575,n
False,False,0.773,0.240,n
True,True,0.946,0.396,p
True,True,0.908,0.431,p
False,True,0.498,0.501,n
True,False,0.071,0.172,n
True,True,0.478,0.277,p
False,True,0.018,0.559,n
True,False,0.149,0.966,n
True,False,0.399,0.385,n
True,False,0.642,0.595,n
False,True,0.374,0.643,n
True,True,0.918,0.369,p
False,False,0.484,0.178,n
False,False,0.469,0.866,n
True,True,0.852,0.912,p
True,False,0.224,0.266,p
False,False,0.398,0.723,n
False,True,0.861,0.954,p
False,True,0.872,0.165,p
False,True,0.134,0.010,p
True,True,0.285,0.931,n
True,True,0.069,0.389,p
False,False,0.424,0.925,p
False,True,0.965,0.521,p
False,False,0.820,0.125,n
True,True,0.836,0.094,p
False,True,0.864,0.124,n
True,False,0.599,0.118,p
False,False,0.610,0.624,n
False,False,0.077,0.176,n
True,True,0.357,0.964,n
True,True,0.577,0.987,p
True,False,0.052,0.841,n
True,True,0.912,0.093,p
False,True,0.902,0.938,n
False,True,0.071,0.632,p
True,True,0.617,0.263,p
True,True,0.230,0.089,p
True,True,0.554,0.918,p
True,True,0.002,0.354,p
True,False,0.182,0.580,p
True,False,0.119,0.936,n
False,True,0.711,0.896,n
False,False,0.768,0.076,n
False,False,0.493,0.326,n
True,False,0.763,0.478,p
False,True,0.875,0.637,p
True,True,0.801,0.208,p
False,True,0.383,0.257,p
True,True,0.834,0.543,p
False,False,0.497,0.259,n
False,False,0.341,0.937,n
True,True,0.604,0.203,p
True,False,0.540,0.122,p
False,True,0.954,0.855,n
True,True,0.609,0.527,n
False,True,0.076,0.899,n
False,False,0.318,0.514,n
False,False,0.760,0.969,n
False,True,0.481,0.538,n
False,False,0.463,0.729,n
False,True,0.992,0.365,p
False,True,0.547,0.819,n
True,False,0.206,0.530,p
False,False,0.855,0.502,n
True,False,0.953,0.190,p
False,True,0.193,0.347,p
True,False,0.927,0.300,p
True,True,0.224,0.584,n
True,True,0.422,0.296,p
True,False,0.613,0.886,n
True,False,0.810,0.676,p
True,True,0.740,0.849,p
False,True,0.962,0.874,n
False,False,0.281,0.429,n
False,False,0.217,0.138,p
False,True,0.883,0.580,n
False,False,0.735,0.163,n
True,False,0.214,0.946,n
False,False,0.122,0.793,n
True,False,0.043,0.455,p
False,True,0.493,0.062,p
False,False,0.338,0.822,n
False,False,0.977,0.241,n
False,True,0.754,0.678,p
True,False,0.553,0.949,n
True,False,0.543,0.353,n
False,False,0.527,0.754,n
True,False,0.207,0.611,p
True,True,0.362,0.662,p
False,True,0.153,0.851,n
True,False,0.905,0.445,p
False,False,0.113,0.520,n
False,True,0.309,0.745,n
False,True,0.038,0.979,n
True,False,0.806,0.129,p
True,False,0.697,0.213,p
True,False,0.505,0.130,p
False,True,0.780,0.511,p
False,False,0.321,0.220,n
True,False,0.924,0.941,p
True,False,0.225,0.815,n
False,True,0.715,0.329,p
False,False,0.703,0.961,n
True,True,0.508,0.556,p
True,False,0.070,0.837,n
True,False,0.735,0.670,p
False,False,0.666,0.007,n
True,True,0.970,0.206,p
True,True,0.665,0.982,p
True,False,0.110,0.005,p
False,False,0.824,0.250,n
False,True,0.834,0.902,n
False,True,0.805,0.439,p
True,True,0.955,0.310,p
False,False,0.687,0.926,n
False,True,0.598,0.786,p
False,False,0.478,0.269,n
False,False,0.920,0.126,n
True,False,0.904,0.864,n
True,True,0.500,0.844,p
False,False,0.598,0.492,n
False,True,0.110,0.401,p
False,True,0.221,0.915,n
False,False,0.424,0.794,n
True,True,0.231,0.477,p
False,False,0.336,0.620,n
False,True,0.742,0.552,p
False,False,0.458,0.391,n
False,False,0.528,0.704,n
False,True,0.410,0.286,p
False,True,0.960,0.464,p
True,True,0.535,0.501,p
False,False,0.201,0.340,n
False,True,0.493,0.713,p
False,True,0.900,0.250,n
False,True,0.153,0.067,p
False,True,0.798,0.337,n
False,False,0.099,0.723,n
False,False,0.126,0.775,n
False,False,0.254,0.474,n
True,False,0.651,0.926,n
True,True,0.964,0.188,p
False,False,0.744,0.781,n
False,False,0.811,0.145,n
False,False,0.932,0.265,n
True,True,0.999,0.304,p
False,True,0.419,0.668,n
False,False,0.636,0.755,n
True,False,0.953,0.427,p
True,False,0.030,0.110,p
False,False,0.078,0.589,p
False,True,0.112,0.540,p
True,False,0.604,0.257,p
True,False,0.564,0.090,p
False,True,0.818,0.576,p
True,True,0.929,0.119,p
False,False,0.950,0.949,n
False,True,0.842,0.029,p
False,False,0.570,0.782,n
True,False,0.951,0.782,n
True,False,0.545,0.800,n
True,False,0.811,0.795,n
True,True,0.499,0.844,p
False,False,0.680,0.116,n
True,True,0.072,0.697,p
True,True,0.599,0.329,p
False,True,0.978,0.303,p
True,False,0.530,0.315,n
False,False,0.884,0.106,n
False,True,0.024,0.060,p
False,True,0.922,0.064,p
False,True,0.451,0.125,p
True,True,0.451,0.432,p
True,True,0.779,0.884,p
False,False,0.008,0.685,n
True,True,0.995,0.719,p
False,True,0.912,0.434,p
False,True,0.887,0.448,n
True,True,0.055,0.222,p
False,True,0.539,0.568,n
